task_id,official_reward,loom_arm_reward,loom_x86_reward,concordance,loom_arm_arch,loom_x86_arch,loom_arm_failure,loom_x86_failure
dependency-vulnerability-check/dependency-vulnerability-check-5,1.0,1.0,0.0,x86_dissents,,,,
earthquake-plate-calculation/earthquake-plate-calculation-1,0.0,0.0,0.0,three_way_match,,,,
earthquake-plate-calculation/earthquake-plate-calculation-2,1.0,1.0,0.0,x86_dissents,,,,
earthquake-plate-calculation/earthquake-plate-calculation-3,0.0,0.0,0.0,three_way_match,,,,
earthquake-plate-calculation/earthquake-plate-calculation-4,0.0,0.0,1.0,x86_dissents,,,,
earthquake-plate-calculation/earthquake-plate-calculation-5,0.0,0.0,0.0,three_way_match,,,,
earthquake-plate-calculation/earthquake-plate-calculation-6,0.0,0.0,0.0,three_way_match,,,,
enterprise-information-search/enterprise-information-search-1,0.0,0.0,0.0,three_way_match,,,,
enterprise-information-search/enterprise-information-search-2,0.0,0.0,0.0,three_way_match,,,,
enterprise-information-search/enterprise-information-search-3,0.0,0.0,0.0,three_way_match,,,,
enterprise-information-search/enterprise-information-search-4,0.0,0.0,0.0,three_way_match,,,,
enterprise-information-search/enterprise-information-search-5,0.0,0.0,0.0,three_way_match,,,,
enterprise-information-search/enterprise-information-search-6,0.0,0.0,0.0,three_way_match,,,,
financial-analysis/financial-analysis-1,0.0,0.0,0.0,three_way_match,,,,
financial-analysis/financial-analysis-2,0.0,0.0,0.0,three_way_match,,,,
financial-analysis/financial-analysis-3,0.0,0.0,0.0,three_way_match,,,,
financial-analysis/financial-analysis-4,0.0,0.0,1.0,x86_dissents,,,,
financial-analysis/financial-analysis-5,0.0,0.0,0.0,three_way_match,,,,
financial-analysis/financial-analysis-6,0.0,0.0,0.0,three_way_match,,,,
fix-security-bug/fix-security-bug-1,0.0,0.0,0.0,three_way_match,,,,
fix-security-bug/fix-security-bug-2,0.0,0.0,0.0,three_way_match,,,,
fix-security-bug/fix-security-bug-3,0.0,0.0,0.0,three_way_match,,,,
github-repo-analytics/github-repo-analytics-1,0.0,0.0,0.0,three_way_match,,,,
github-repo-analytics/github-repo-analytics-2,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
github-repo-analytics/github-repo-analytics-3,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
github-repo-analytics/github-repo-analytics-4,0.0,0.0,0.0,three_way_match,,,,
github-repo-analytics/github-repo-analytics-5,0.0,0.0,0.0,three_way_match,,,,
nlp-paper-reproduction/nlp-paper-reproduction-1,0.0,0.0,0.0,three_way_match,,,,
nlp-paper-reproduction/nlp-paper-reproduction-2,0.0,0.0,0.0,three_way_match,,,,
nlp-paper-reproduction/nlp-paper-reproduction-3,0.0,0.0,0.0,three_way_match,,,,
offer-letter-generator/offer-letter-generator-1,0.0,0.0,0.0,three_way_match,,,,
offer-letter-generator/offer-letter-generator-2,0.0,0.0,0.0,three_way_match,,,,
offer-letter-generator/offer-letter-generator-3,0.0,0.0,0.0,three_way_match,,,,
offer-letter-generator/offer-letter-generator-4,0.0,0.0,0.0,three_way_match,,,,
offer-letter-generator/offer-letter-generator-5,0.0,0.0,0.0,three_way_match,,,,
offer-letter-generator/offer-letter-generator-6,0.0,0.0,0.0,three_way_match,,,,
organize-messy-files/organize-messy-files-1,0.0,0.0,0.0,three_way_match,,,,
organize-messy-files/organize-messy-files-2,0.0,0.0,0.0,three_way_match,,,,
organize-messy-files/organize-messy-files-3,0.0,0.0,0.0,three_way_match,,,,
organize-messy-files/organize-messy-files-4,0.0,0.0,0.0,three_way_match,,,,
organize-messy-files/organize-messy-files-5,0.0,0.0,0.0,three_way_match,,,,
organize-messy-files/organize-messy-files-6,0.0,0.0,0.0,three_way_match,,,,
python-scala-translation/python-scala-translation-1,0.0,0.0,0.0,three_way_match,,,,
python-scala-translation/python-scala-translation-2,0.0,0.0,0.0,three_way_match,,,,
schedule-planning/schedule-planning-1,0.0,0.0,0.0,three_way_match,,,,
schedule-planning/schedule-planning-2,0.0,0.0,0.0,three_way_match,,,,
schedule-planning/schedule-planning-3,0.0,0.0,0.0,three_way_match,,,,
schedule-planning/schedule-planning-4,0.0,0.0,0.0,three_way_match,,,,
schedule-planning/schedule-planning-5,0.0,0.0,0.0,three_way_match,,,,
stock-data-visualization/stock-data-visualization-1,0.0,0.0,0.0,three_way_match,,,,
stock-data-visualization/stock-data-visualization-2,0.0,0.0,0.0,three_way_match,,,,
stock-data-visualization/stock-data-visualization-3,0.0,0.0,0.0,three_way_match,,,,
stock-data-visualization/stock-data-visualization-4,0.0,0.0,0.0,three_way_match,,,,
stock-data-visualization/stock-data-visualization-5,0.0,0.0,0.0,three_way_match,,,,
temperature-simulation/temperature-simulation-1,0.0,0.0,0.0,three_way_match,,,,
temperature-simulation/temperature-simulation-2,0.0,0.0,0.0,three_way_match,,,,
temperature-simulation/temperature-simulation-3,0.0,0.0,0.0,three_way_match,,,,
temperature-simulation/temperature-simulation-4,0.0,0.0,0.0,three_way_match,,,,
temperature-simulation/temperature-simulation-5,0.0,0.0,0.0,three_way_match,,,,
travel-planning/travel-planning-1,0.0,0.0,0.0,three_way_match,,,,
travel-planning/travel-planning-2,1.0,0.0,1.0,arm_dissents,,,,
travel-planning/travel-planning-3,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
travel-planning/travel-planning-4,1.0,0.0,1.0,arm_dissents,,,,
travel-planning/travel-planning-5,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
video-object-counting/video-object-counting-1,1.0,0.0,1.0,arm_dissents,,,,
video-object-counting/video-object-counting-2,0.0,0.0,0.0,three_way_match,,,,
video-object-counting/video-object-counting-3,0.0,1.0,1.0,loom_agrees_official_dissents,,,,
video-object-counting/video-object-counting-4,0.0,0.0,1.0,x86_dissents,,,,
video-object-counting/video-object-counting-5,0.0,0.0,1.0,x86_dissents,,,,
weighted-gdp-calculation/weighted-gdp-calculation-1,0.0,0.0,0.0,three_way_match,,,,
weighted-gdp-calculation/weighted-gdp-calculation-2,0.0,0.0,0.0,three_way_match,,,,
weighted-gdp-calculation/weighted-gdp-calculation-3,0.0,0.0,0.0,three_way_match,,,,
weighted-gdp-calculation/weighted-gdp-calculation-4,0.0,0.0,1.0,x86_dissents,,,,
weighted-gdp-calculation/weighted-gdp-calculation-5,0.0,0.0,0.0,three_way_match,,,,
weighted-gdp-calculation/weighted-gdp-calculation-6,0.0,0.0,0.0,three_way_match,,,,
